Date,Ten_Year_Treasury
1941-02-01,0.0199
1941-01-01,0.0195
1940-12-01,0.0197
1940-11-01,0.0199
1940-10-01,0.0202
1940-09-01,0.0204
1940-08-01,0.0206
1940-07-01,0.0208
1940-06-01,0.021
1940-05-01,0.0212
1940-04-01,0.021400000000000002
1940-03-01,0.0217
1940-02-01,0.0219
1940-01-01,0.022099999999999998
1939-12-01,0.0222
1939-11-01,0.0223
1939-10-01,0.0225
1939-09-01,0.0226
1939-08-01,0.0227
1939-07-01,0.0229
1939-06-01,0.023
1939-05-01,0.0231
1939-04-01,0.0232
1939-03-01,0.023399999999999997
1939-02-01,0.0235
1939-01-01,0.0236
1938-12-01,0.023799999999999998
1938-11-01,0.0239
1938-10-01,0.0241
1938-09-01,0.024300000000000002
1938-08-01,0.024399999999999998
1938-07-01,0.0246
1938-06-01,0.0248
1938-05-01,0.024900000000000002
1938-04-01,0.025099999999999997
1938-03-01,0.0253
1938-02-01,0.0254
1938-01-01,0.0256
1937-12-01,0.025699999999999997
1937-11-01,0.0258
1937-10-01,0.0259
1937-09-01,0.026000000000000002
1937-08-01,0.026099999999999998
1937-07-01,0.0262
1937-06-01,0.0263
1937-05-01,0.0264
1937-04-01,0.0265
1937-03-01,0.026600000000000002
1937-02-01,0.026699999999999998
1937-01-01,0.0268
1936-12-01,0.0268
1936-11-01,0.026699999999999998
1936-10-01,0.026699999999999998
1936-09-01,0.026699999999999998
1936-08-01,0.026699999999999998
1936-07-01,0.026600000000000002
1936-06-01,0.026600000000000002
1936-05-01,0.026600000000000002
1936-04-01,0.026600000000000002
1936-03-01,0.0265
1936-02-01,0.0265
1936-01-01,0.0265
1935-12-01,0.026600000000000002
1935-11-01,0.026699999999999998
1935-10-01,0.0268
1935-09-01,0.027000000000000003
1935-08-01,0.0271
1935-07-01,0.027200000000000002
1935-06-01,0.0273
1935-05-01,0.0274
1935-04-01,0.0276
1935-03-01,0.0277
1935-02-01,0.0278
1935-01-01,0.0279
1934-12-01,0.0282
1934-11-01,0.0285
1934-10-01,0.0287
1934-09-01,0.028999999999999998
1934-08-01,0.029300000000000003
1934-07-01,0.029500000000000002
